,Disease,Cure name
510,Mycoplasmoides gallisepticum,"Tylosin, Tetracycline, Doxycycline"
511,Treponema medium,"Metronidazole, Penicillin G"
512,Aeromonas hydrophila,"Ciprofloxacin, Trimethoprim-sulfamethoxazole"
513,Aeromonas enteropelogenes,"Ciprofloxacin, Trimethoprim-sulfamethoxazole"
514,Aeromonas sobria,"Ciprofloxacin, Trimethoprim-sulfamethoxazole"
515,Cryptococcus deuterogattii,"Fluconazole, Amphotericin B, Flucytosine"
517,Corynebacterium striatum,"Vancomycin, Linezolid, Daptomycin"
518,Leishmania braziliensis,"Amphotericin B, Miltefosine, Paromomycin"
520,Staphylococcus epidermidis,"Vancomycin, Linezolid, Daptomycin"
521,Staphylococcus intermedius,"Amoxicillin-clavulanate, Cephalexin, Clindamycin"
522,Staphylococcus lugdunensis,"Oxacillin, Cefazolin, Vancomycin"
523,Providencia rettgeri,"Ciprofloxacin, Levofloxacin, Trimethoprim-sulfamethoxazole"
525,Yersinia enterocolitica,"Ciprofloxacin, Doxycycline, Trimethoprim-sulfamethoxazole"
526,Streptomyces galilaeus,"Doxorubicin, Daunorubicin"
527,Aspergillus niger,"Itraconazole, Voriconazole, Amphotericin B"
528,Bacillus subtilis,"Bacitracin, Erythromycin, Penicillin"
531,Trichomonas vaginalis,"Metronidazole, Tinidazole"
532,Babesia bovis,"Atovaquone, Azithromycin"
534,Dermatophagoides pteronyssinus,"Antihistamines , Corticosteroids"
535,Ixodes ricinus,"Doxycycline, Amoxicillin"
536,Psoroptes ovis,"Ivermectin, Moxidectin"
537,Candida boidinii,"Fluconazole, Itraconazole"
538,Listeria monocytogenes serotype 1/2a,Ampicillin
539,Listeria monocytogenes serotype 1/2a,Gentamicin
540,Listeria monocytogenes serotype 1/2a,Listeria monocytogenes vaccine
541,Plasmodium falciparum,Artemisinin
542,Plasmodium falciparum,Chloroquine
543,Plasmodium falciparum,Mefloquine
544,Plasmodium falciparum,Quinine
545,Toxoplasma gondii,Pyrimethamine
546,Toxoplasma gondii,Sulfadiazine
547,Toxoplasma gondii,Clindamycin
548,Plasmodium falciparum,Artemisinin-based combination therapy
549,Plasmodium falciparum,Atovaquone-proguanil
550,Plasmodium falciparum,Quinine sulfate
556,Plasmodium fragile,Chloroquine
557,Plasmodium fragile,Artemisinin-based combination therapy
560,Haemonchus contortus,"Albendazole, Ivermectin, Levamisole"
561,Paracoccidioides brasiliensis,"Amphotericin B, Itraconazole, Sulfonamides"
562,Plutella xylostella,"Bacillus thuringiensis, Spinosad"
563,Pyrenophora teres f. teres,"Azoxystrobin, Propiconazole, Tebuconazole"
564,Colletotrichum graminicola,"Azoxystrobin, Chlorothalonil, Mancozeb"
565,Ajellomyces capsulatus,"Amphotericin B, Itraconazole, Fluconazole"
566,Rhizopus delemar,"Amphotericin B, Itraconazole, Posaconazole"
567,Aspergillus kawachii,"Voriconazole, Itraconazole, Amphotericin B"
568,Aspergillus usamii,"Voriconazole, Itraconazole, Amphotericin B"
569,Rhizopus oryzae,"Amphotericin B, Posaconazole, Itraconazole"
570,Neisseria meningitidis,"Ceftriaxone, Ciprofloxacin, Penicillin G"
571,Emericella variicolor,"Amphotericin B, Itraconazole, Voriconazole"
572,Vibrio anguillarum,"Tetracycline, Doxycycline, Ciprofloxacin"
573,Neisseria gonorrhoeae,"Ceftriaxone, Azithromycin"
574,Aspergillus thermomutatus,"Voriconazole, Amphotericin B"
575,Acinetobacter nosocomialis,"Imipenem, Colistin"
576,Epstein-Barr virus,"Acyclovir, Ganciclovir"
577,Human cytomegalovirus,"Ganciclovir, Valganciclovir"
578,Human herpesvirus 1,"Acyclovir, Valacyclovir"
579,Human herpesvirus 2,"Acyclovir, Valacyclovir"
580,Human herpesvirus 6A,"Ganciclovir, Foscarnet"
581,Human herpesvirus 6B,"Ganciclovir, Foscarnet"
582,Human herpesvirus 7,"Ganciclovir, Foscarnet"
583,Human herpesvirus 8,"Ganciclovir, Foscarnet"
584,Varicella-zoster virus,"Acyclovir, Valacyclovir"
585,Severe acute respiratory syndrome coronavirus,"Remdesivir, Dexamethasone"
586,Severe acute respiratory syndrome coronavirus 2,"Remdesivir, Dexamethasone"
588,Proteus mirabilis,"Ciprofloxacin, Ceftriaxone"
589,Salmonella typhimurium,"Ciprofloxacin, Azithromycin"
590,Mycobacterium tuberculosis,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide"
591,Leishmania donovani,"Amphotericin B, Miltefosine, Sodium stibogluconate"
592,Streptococcus suis,"Penicillin, Ampicillin, Ceftriaxone"
593,Aspergillus terreus,"Voriconazole, Amphotericin B, Itraconazole"
594,Burkholderia pseudomallei,"Ceftazidime, Meropenem, Trimethoprim-sulfamethoxazole"
595,Histophilus somni,"Oxytetracycline, Florfenicol, Tilmicosin"
596,Mannheimia haemolytica,"Tilmicosin, Florfenicol, Enrofloxacin"
597,Salmonella gallinarum,"Amoxicillin, Enrofloxacin, Florfenicol"
598,Yersinia ruckeri,"Oxytetracycline, Florfenicol, Enrofloxacin"
599,Corynebacterium pseudotuberculosis,"Penicillin, Erythromycin, Tetracycline"
600,Helicobacter pylori,"Clarithromycin, Amoxicillin, Metronidazole"
602,Enterococcus avium,"Vancomycin, Linezolid, Daptomycin"
603,Aeromonas salmonicida subsp. salmonicida,"Oxytetracycline, Florfenicol, Sulfamerazine"
604,Enterococcus faecium,"Vancomycin, Linezolid, Daptomycin"
605,Cryptosporidium parvum,"Nitazoxanide, Paromomycin, Azithromycin"
606,Entamoeba dispar,"Metronidazole, Tinidazole, Paromomycin"
607,Leishmania infantum,"Amphotericin B, Miltefosine, Sodium stibogluconate"
608,Plasmodium chabaudi chabaudi,"Chloroquine, Artemether-lumefantrine, Mefloquine"
609,Plasmodium knowlesi,"Chloroquine, Artemether-lumefantrine, Mefloquine"
611,Ureaplasma urealyticum,"Doxycycline, Azithromycin, Erythromycin"
612,Streptococcus gordonii,"Penicillin, Amoxicillin, Clindamycin"
613,Necator americanus,"Albendazole, Mebendazole, Pyrantel pamoate"
614,Elizabethkingia miricola,"Ciprofloxacin, Levofloxacin, Trimethoprim-sulfamethoxazole"
615,Ancylostoma caninum,"Albendazole, Mebendazole, Pyrantel pamoate"
616,Plasmodium falciparum,"Artemether-lumefantrine, Chloroquine, Mefloquine"
617,Schistosoma japonicum,"Praziquantel, Oxamniquine"
618,Acinetobacter sp.,"Imipenem, Meropenem, Colistin"
619,Cryphonectria parasitica,"Carbendazim, Thiophanate-methyl"
620,Cryptococcus gattii,"Fluconazole, Amphotericin B, Flucytosine"
621,Candida glabrata,"Caspofungin, Micafungin, Amphotericin B"
624,Salmonella typhimurium,"Ciprofloxacin, Azithromycin, Ceftriaxone"
625,Candida parapsilosis,"Fluconazole, Caspofungin, Amphotericin B"
626,Trichophyton rubrum,"Terbinafine, Itraconazole, Griseofulvin"
627,Vibrio alginolyticus,"Doxycycline, Ciprofloxacin, Azithromycin"
628,Cochliomyia hominivorax,"Ivermectin, Doramectin"
629,Prototheca wickerhamii,"Amphotericin B, Fluconazole, Itraconazole"
630,Enterococcus faecalis,"Vancomycin, Linezolid"
631,Babesia divergens,"Atovaquone, Azithromycin"
634,Listeria monocytogenes,"Ampicillin, Gentamicin"
638,Clostridioides difficile,"Metronidazole, Vancomycin"
639,Neisseria meningitidis,"Penicillin, Ceftriaxone"
645,Moraxella catarrhalis,"Amoxicillin, Clavulanate"
646,Klebsiella pneumoniae,"Meropenem, Ceftazidime"
647,Proteus vulgaris,"Ciprofloxacin, Ceftriaxone"
648,Bacteroides fragilis,"Metronidazole, Clindamycin"
649,Vibrio cholerae,"Doxycycline, Azithromycin"
650,Influenza,"Oseltamivir, Zanamivir"
651,Lyme Disease,"Doxycycline, Amoxicillin, Cefuroxime"
653,Monkeypox,"Tecovirimat, Brincidofovir, Cidofovir"
654,Pectobacterium carotovorum infection,"Streptomycin, Tetracycline"
655,Naegleria gruberi infection,"Amphotericin B, Miltefosine, Fluconazole"
656,Colletotrichum gloeosporioides infection,"Azoxystrobin, Chlorothalonil, Mancozeb"
657,Colletotrichum trifolii infection,"Azoxystrobin, Chlorothalonil, Mancozeb"
658,Trypanosomiasis,"Suramin, Pentamidine, Eflornithine"
659,Escherichia coli infections,"Ciprofloxacin, Amoxicillin, Trimethoprim-sulfamethoxazole"
660,Staphylococcus infections,"Methicillin, Vancomycin, Linezolid"
661,Yersinia infections,"Doxycycline, Ciprofloxacin, Gentamicin"
662,Pseudomonas aeruginosa infections,"Piperacillin-tazobactam, Ceftazidime, Meropenem"
663,Streptococcus pneumoniae infections,"Penicillin, Amoxicillin, Ceftriaxone"
664,Adenovirus infections,"Cidofovir, Ribavirin, Brincidofovir"
665,Cryptosporidiosis,"Nitazoxanide, Paromomycin, Azithromycin"
666,Feline calicivirus infection,"Ribavirin, Interferon-alpha"
667,Feline panleukopenia,"Feline panleukopenia vaccine, Supportive care"
668,Giardiasis,"Metronidazole, Tinidazole, Nitazoxanide"
669,Hepatitis B,"Tenofovir, Entecavir, Lamivudine"
670,Hepatitis B,"Entecavir, Tenofovir, Lamivudine, Adefovir"
671,Hepatitis E,"Peginterferon alfa-2a, Ribavirin"
673,High Plains disease,No specific treatment available
674,Citrus ringspot,No specific treatment available
675,Infectious hypodermal and hematopoietic necrosis,No specific treatment available
676,Densovirus infection,No specific treatment available
677,Leishmaniasis,"Amphotericin B, Pentavalent antimonials"
678,Norovirus infection,No specific treatment available
679,Melon necrotic spot,No specific treatment available
680,Maize streak disease,No specific treatment available
681,Minute virus infection,No specific treatment available
682,Narcissus mosaic,No specific treatment available
683,Potato virus M infection,No specific treatment available
684,Potato virus S infection,No specific treatment available
685,Potato virus X infection,No specific treatment available
686,Raspberry bushy dwarf virus infection,No specific treatment available
687,Red clover necrotic mosaic virus infection,No specific treatment available
688,Rabbit calicivirus infection,Supportive care
689,Ribgrass mosaic virus infection,No specific treatment available
690,Rice ragged stunt virus infection,No specific treatment available
691,Southern bean mosaic virus infection,No specific treatment available
692,Soil-borne wheat mosaic virus infection,No specific treatment available
693,Southern cowpea mosaic virus infection,No specific treatment available
694,Subterranean clover stunt virus infection,No specific treatment available
695,Spodoptera frugiperda ascovirus 1a infection,No specific treatment available
696,Sunn-hemp mosaic virus infection,No specific treatment available
697,Shallot virus X infection,No specific treatment available
698,San Miguel sea lion virus infection,Supportive care
699,Strawberry mild yellow edge-associated virus infection,No specific treatment available
700,Soybean chlorotic mottle virus infection,No specific treatment available
701,Southampton virus infection,No specific treatment available
702,Sputnik virophage infection,No specific treatment available
703,Spiroplasma virus SpV1-C74 infection,No specific treatment available
704,Saccharolobus solfataricus rod-shaped virus 1 infection,No specific treatment available
705,Sugarcane streak virus infection,No specific treatment available
706,Satellite tobacco necrosis virus 1 infection,No specific treatment available
707,Turkey astrovirus 1 infection,Supportive care
708,Tomato bushy stunt virus infection,No specific treatment available
709,Turnip crinkle virus,No specific treatment available
710,Tobacco mild green mosaic virus,No specific treatment available
711,Tobacco mosaic virus,No specific treatment available
712,Trichoplusia ni ascovirus 2c,No specific treatment available
713,Tobacco necrosis virus,No specific treatment available
714,Tomato mosaic virus,No specific treatment available
715,Tobacco ringspot virus,No specific treatment available
716,Tobacco rattle virus,No specific treatment available
717,Turnip vein-clearing virus,No specific treatment available
718,Tobacco yellow dwarf virus,No specific treatment available
719,Capnocytophaga infection,"Clindamycin, Amoxicillin/Clavulanate, Imipenem/Cilastatin"
720,Meningitis,"Ceftriaxone, Penicillin"
721,Candida auris infection,"Anidulafungin, Caspofungin, Micafungin"
722,Neisseria meningitidis,Meningitis
723,Listeria seeligeri,Listeriosis
724,Fasciola hepatica,Fascioliasis
725,Brugia pahangi,Lymphatic filariasis
726,Q fever,"Doxycycline, Tetracycline"
727,Listeriosis,"Ampicillin, Gentamicin"
728,Clostridium difficile infection,"Vancomycin, Metronidazole, Fidaxomicin"
729,Trichophyton tonsurans infection,"Griseofulvin, Terbinafine"
730,Trichophyton equinum infection,"Griseofulvin, Itraconazole"
731,Trypanosomiasis,"Pentamidine, Suramin"
732,Tularemia,"Ciprofloxacin, Doxycycline, Gentamicin, Chloramphenicol"
733,Capnocytophaga canimorsus infection,"Piperacillin/Tazobactam, Clindamycin, Ciprofloxacin"
734,Toxoplasmosis,"Pyrimethamine, Sulfadiazine, Folinic acid"
735,Salmonellosis,"Ciprofloxacin, Ceftriaxone"
736,Chlamydia,"Doxycycline, Azithromycin, Levofloxacin"
737,Enterococcus faecalis infection,"Ampicillin, Vancomycin"
738,Staphylococcus haemolyticus infection,"Methicillin, Vancomycin"
739,Skin infections,"Griseofulvin, Terbinafine"
740,Pear scab,"Fungicides like mancozeb, captan, or thiophanate-methyl"
741,Flea beetle infestation,Insecticides containing pyrethrins or neonicotinoids
742,Cat flea infestation,"Insect growth regulators, pyriproxyfen or lufenuron"
743,Citrus canker,"Copper-based bactericides, antibiotics like streptomycin"
744,Anaplasmosis,Tetracyclines like oxytetracycline or imidocarb dipropionate
745,Ehrlichiosis,Doxycycline
746,Lawsonia intracellularis infection,Macrolides like tylosin or tiamulin
747,Legionnaires' disease,nan
748,Infective Endocarditis,"Ampicillin, Ceftriaxone, Vancomycin"
749,Bacterial Meningitis,"Ceftriaxone, Ampicillin"
750,Chlamydia Infection,"Doxycycline, Azithromycin"
751,Anaplasmosis,Doxycycline
752,Bartonellosis,"Ciprofloxacin, Doxycycline"
753,Cutaneous and Systemic Infections,"Benzoyl peroxide, Clindamycin, Oral antibiotics"
755,Urinary Tract Infection,"Ceftriaxone, Ampicillin, Ciprofloxacin"
756,Gastroenteritis,"Azithromycin, Ciprofloxacin"
757,Mycobacterial Infections,"Rifampicin, Isoniazid, Ethambutol"
758,Whipple's disease,"Initial: Ceftriaxone or Penicillin G for 2-4 weeks, followed by Trimethoprim-Sulfamethoxazole  for 1-2 years; alternative: Doxycycline with Hydroxychloroquine."
759,Periodontal disease,"Metronidazole, Amoxicillin, or Doxycycline."
760,Bacterial infections,"Antibiotics such as Ceftriaxone, Ceftazidime, or Ciprofloxacin, depending on susceptibility."
761,Gastroenteritis,"Doxycycline, Azithromycin, or Ciprofloxacin."
762,Whipple's disease,"Streptomycin, Benzylpenicillin, Trimethoprim-Sulfamethoxazole"
763,Periodontal disease,"Metronidazole, Amoxicillin, Doxycycline"
764,Gastroenteritis,"Doxycycline, Azithromycin, Ciprofloxacin"
767,Bacterial infections,"Ceftriaxone, Ceftazidime, Ciprofloxacin"
768,Nocardiosis,"Trimethoprim-Sulfamethoxazole, Amikacin"
769,Chromoblastomycosis,"Itraconazole, Fluconazole"
770,Phaeohyphomycosis,"Itraconazole, Voriconazole"
771,Mucormycosis,"Amphotericin B, Posaconazole"
772,Rhinosporidiosis,"Dapsone, Amphotericin B"
773,Mycetoma,"Dapsone, Trimethoprim-Sulfamethoxazole"
774,Fusariosis,"Voriconazole, Amphotericin B"
775,Saprolegniasis,"Itraconazole, Fluconazole"
776,Bartonellosis,"Doxycycline, Azithromycin"
777,Rickettsial diseases,"Doxycycline, Chloramphenicol"
778,Leishmaniasis,"Pentavalent antimonials , Amphotericin B"
779,Salmonellosis,"Fluoroquinolones , Ceftriaxone"
780,Ergotism,None
781,Claviceps purpurea infection,"Amphotericin B, Fluconazole"
782,Toxoplasmosis,"Spiramycin, Pyrimethamine, Sulfadiazine"
783,Myiasis,"Ivermectin, Albendazole"
784,Coccidiosis,"Sulfonamides , Ionophores"
785,Respiratory tract infections,"Amoxicillin, Azithromycin"
786,Skin infections,"Cephalexin, Amoxicillin"
787,Diphtheria,"Diphtheria antitoxin, Erythromycin"
788,Yersiniosis,"Ciprofloxacin, Ceftriaxone"
789,Fungal infections,"Amphotericin B, Fluconazole"
790,Leptospirosis,"Penicillin, Doxycycline"
791,Cryptosporidiosis,"Nitazoxanide, Paromomycin"
792,Helicobacter pylori infection,"Clarithromycin, Amoxicillin, Lansoprazole"
793,Arcobacter infections,"Ciprofloxacin, Ceftriaxone"
797,Lonomia envenomation,Lonomia Antivenom
799,Pertussis,"Azithromycin, Clarithromycin, Erythromycin"
800,Trypanosomiasis,"Suramin, Pentamidine"
801,North Asian tick typhus,Doxycycline
802,Shewanella infection,"Ciprofloxacin, Ceftriaxone"
803,Bacterial infections,"Ampicillin, Vancomycin"
804,Campylobacter infection,"Azithromycin, Ciprofloxacin"
805,Shigellosis,"Azithromycin, Ciprofloxacin, Ceftriaxone"
807,Equine infectious anemia,"Imidocarb, Dexamethasone"
812,Bovine leukemia,"Interferon, Zidovudine"
813,Caprine arthritis encephalitis,"Antiviral therapy, supportive care"
814,Dhori virus infection,"Ribavirin, supportive care"
815,Avian leukosis,No specific treatment available
816,Avian retrovirus infection,No specific treatment available
817,Avian sarcoma,No specific treatment available
819,Feline immunodeficiency virus infection,"Antiviral therapy, supportive care"
820,Feline leukemia,"Interferon, Zidovudine"
821,Feline sarcoma,No specific treatment available
822,Human T-cell leukemia,"Chemotherapy, radiation therapy"
823,Human immunodeficiency virus  infection,Antiretroviral therapy
824,Adult T-cell leukemia/lymphoma,"Chemotherapy, radiation therapy"
825,Human immunodeficiency virus type 2  infection,Antiretroviral therapy
826,Jembrana disease,No specific treatment available
827,Sheep pulmonary adenomatosis,No specific treatment available
828,Koala retrovirus infection,No specific treatment available
829,Murine leukemia,No specific treatment available
831,Simian immunodeficiency virus  infection,Antiretroviral therapy
833,Simian retrovirus  infection,No specific treatment available
834,Thogoto virus infection,No specific treatment available
835,Maedi visna virus infection,No specific treatment available
836,Woolly monkey sarcoma virus infection,No specific treatment available
837,Xenotropic MuLV-related virus infection,No specific treatment available
839,Avian erythroblastosis,No specific treatment available
840,Bacterial leaf spot of sesame,"Copper-based bactericides, Streptomycin"
841,Fungal infections,"Antifungal medications, such as Amphotericin B"
842,Diphtheria,"Diphtheria antitoxin, Penicillin"
843,Pneumocystis pneumonia,Trimethoprim-Sulfamethoxazole
844,Scab,"Copper-based fungicides, Chlorothalonil"
845,Bacterial leaf spot of gladiolus,"Copper-based bactericides, Streptomycin"
846,Green peach aphid infestation,"Insecticides, such as Pyrethrin or Neonicotinoids"
847,Cryptococcosis,"Amphotericin B, Fluconazole"
848,Chlamydophila psittaci infection,"Azithromycin, Doxycycline"
849,Equine herpesvirus 1 infection,"Antiviral medications, such as Acyclovir or Valacyclovir"
850,Gallid herpesvirus 2 infection,"Antiviral medications, such as Acyclovir or Valacyclovir"
851,Herpes simplex virus 1 infection,nan
852,Genital herpes,"Antiviral medications, such as Acyclovir or Valacyclovir"
853,Marek's disease,"Vaccination, Antiviral medications, such as Acyclovir or Valacyclovir"
854,Equine arteritis,"Antiviral medications, such as Ribavirin or Interferon"
855,Porcine reproductive and respiratory syndrome,"Vaccination, Antiviral medications, such as Ribavirin or Interferon"
856,Molluscum contagiosum,"Topical treatments, such as Salicylic acid or Imiquimod, or Antiviral medications, such as Cidofovir"
857,Fascioliasis,"Antiparasitic medications, such as Triclabendazole or Albendazole"
858,Clonorchiasis,"Antiparasitic medications, such as Praziquantel or Albendazole"
859,Streptococcal infections,"Antibiotics, such as Penicillin or Amoxicillin"
860,Loiasis,"Diethylcarbamazine, Ivermectin, Albendazole"
862,Cryptosporidiosis,Nitazoxanide
863,Candida infection,"Fluconazole, Caspofungin"
864,Loiasis,Diethylcarbamazine
865,Lymphatic filariasis,"Diethylcarbamazine, Albendazole"
867,Phomopsis blight,Chlorothalonil
868,Trypanosomiasis,"Nifurtimox, Benznidazole"
869,Shewanella infection,Ciprofloxacin
870,Fusarium head blight,Triadimefon
872,Cat-scratch disease,"Azithromycin, Clarithromycin, Erythromycin"
873,Jimsonweed poisoning,Physostigmine
874,Deadly nightshade poisoning,Physostigmine
875,Henbane poisoning,Physostigmine
876,Pokeweed poisoning,No specific treatment available
877,Pokeweed dermatitis,"Topical corticosteroids, Calamine lotion"
878,Anthrax,"Ciprofloxacin, Doxycycline"
879,Brugmansia poisoning,Physostigmine
880,Datura poisoning,Physostigmine
881,Scopolamine poisoning,Physostigmine
882,Black nightshade poisoning,Physostigmine
883,Aspergillosis,"Voriconazole, Amphotericin B, Itraconazole"
884,Tuberculosis,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide"
885,Leprosy,"Dapsone, Clofazimine, Rifampicin"
887,Shigellosis,"Ciprofloxacin, Azithromycin, Ceftriaxone"
888,Erysipelas,"Penicillin, Cephalexin, Erythromycin"
890,Helicobacter pylori infection,"Omeprazole, Clarithromycin, Amoxicillin"
891,Nocardiosis,"Sulfadiazine, Trimethoprim-sulfamethoxazole"
892,Tetanus,"Tetanus toxin, Metronidazole"
893,Gas gangrene,"Penicillin, Clindamycin, Metronidazole"
894,Melioidosis,"Ceftazidime, Meropenem, Imipenem"
895,Salmonellosis,"Ciprofloxacin, Azithromycin, Ceftriaxone"
896,Aeromonas infection,"Ciprofloxacin, Gentamicin, Tobramycin"
898,Actinomycosis,"Penicillin, Doxycycline, Clindamycin"
899,Moraxella infection,"Ciprofloxacin, Gentamicin, Tobramycin"
900,Fusariosis,"Voriconazole, Amphotericin B, Itraconazole"
901,Aggregatibacter aphrophilus infection,"Penicillin, Doxycycline, Clindamycin"
902,Capnocytophaga infection,"Penicillin, Doxycycline, Clindamycin"
904,Sphingobium infection,"Ciprofloxacin, Gentamicin, Tobramycin"
905,Lactococcosis,"Penicillin, Amoxicillin, Clindamycin"
906,Streptomyces infection,"Itraconazole, Voriconazole, Amphotericin B"
907,Myrmecia infection,"Metronidazole, Clindamycin, Ciprofloxacin"
908,Feline leukemia virus,"Zidovudine, Lamivudine, Stavudine"
909,Avian sarcoma virus,No specific treatment available
910,Methanobrevibacter infection,"Metronidazole, Clindamycin, Ciprofloxacin"
911,Serratia infection,"Ciprofloxacin, Gentamicin, Tobramycin"
912,Vibrio infection,"Doxycycline, Ciprofloxacin, Ceftriaxone"
913,Leptosphaeria infection,"Itraconazole, Voriconazole, Amphotericin B"
914,Sordaria infection,"Itraconazole, Voriconazole, Amphotericin B"
915,Trichoderma infection,"Itraconazole, Voriconazole, Amphotericin B"
917,Ralstonia infection,"Ciprofloxacin, Gentamicin, Tobramycin"
918,Bovine respiratory syncytial virus infection,No specific treatment available
919,Human metapneumovirus infection,No specific treatment available
920,Human respiratory syncytial virus infection,"Ribavirin, Palivizumab"
921,Measles,"Vitamin A, Measles vaccine"
922,Mumps,No specific treatment available
923,Newcastle disease,No specific treatment available
924,Human parainfluenza 2 virus infection,No specific treatment available
925,Parainfluenza virus 5 infection,No specific treatment available
926,Rinderpest,No specific treatment available
927,Simian virus 41 infection,No specific treatment available
928,Turkey rhinotracheitis virus infection,No specific treatment available
940,Hepatitis C,"Sofosbuvir, Ledipasvir, Ribavirin"
943,Scenedesmus vacuolatus infection,No specific treatment available
944,Magnolia liliiflora allergy,"Antihistamines, Corticosteroids"
945,Ranunculus acris poisoning,"Activated charcoal, Supportive care"
946,Atlantibacter hermannii infection,No specific treatment available
947,Cutaneotrichosporon curvatum infection,No specific treatment available
948,Lactarius deterrimus poisoning,"Supportive care, Activated charcoal"
949,Methanobacterium bryantii infection,No specific treatment available
950,Methanothermus fervidus infection,No specific treatment available
951,Panulirus versicolor allergy,"Antihistamines, Corticosteroids"
952,Pleurotus sajor-caju allergy,"Antihistamines, Corticosteroids"
953,Serratia odorifera infection,"Ciprofloxacin, Gentamicin, Tobramycin"
954,Shimwellia blattae infection,"Ciprofloxacin, Gentamicin, Tobramycin"
956,Haplochromis nubilus infection,No specific treatment available
957,Haplochromis xenognathus infection,No specific treatment available
958,Clarkia arcuata allergy,"Antihistamines, Corticosteroids"
959,Clarkia concinna allergy,"Antihistamines, Corticosteroids"
960,Clarkia franciscana allergy,"Antihistamines, Corticosteroids"
961,Clarkia lewisii allergy,"Antihistamines, Corticosteroids"
962,Clarkia mildrediae allergy,"Antihistamines, Corticosteroids"
963,Clarkia rostrata allergy,"Antihistamines, Corticosteroids"
964,Clarkia williamsonii allergy,"Antihistamines, Corticosteroids"
965,Clarkia xantiana allergy,"Antihistamines, Corticosteroids"
966,Arabidopsis halleri subsp. gemmifera allergy,"Antihistamines, Corticosteroids"
967,Xanthomonas citri infection,Copper-based fungicides
968,Brevundimonas diminuta infection,"Ciprofloxacin, Gentamicin, Tobramycin"
969,Pseudomonas sp. infection,"Ciprofloxacin, Gentamicin, Tobramycin"
970,Vaccinia virus infection,"Cidofovir, Brincidofovir"
971,Pseudomonas viridiflava infection,"Ciprofloxacin, Gentamicin, Tobramycin"
972,Shewanella phage 1/4 infection,No specific treatment available
973,AIDS,"Zidovudine, Lamivudine, Tenofovir"
974,Leukemia,"Imatinib, Dasatinib, Nilotinib"
975,Sarcoma,"Doxorubicin, Ifosfamide, Etoposide"
976,Leishmaniasis,"Amphotericin B, Pentamidine, Paromomycin"
977,Malaria,"Artemisinin, Chloroquine, Quinine"
978,Herpes Simplex,"Acyclovir, Valacyclovir, Famciclovir"
979,Cytomegalovirus,"Ganciclovir, Valganciclovir, Foscarnet"
980,Herpes Zoster,"Acyclovir, Valacyclovir, Famciclovir"
981,Infectious Laryngotracheitis,None
982,Bovine Herpesvirus,None
983,Equine Herpesvirus,None
987,Schistosomiasis,"Praziquantel, Oxamniquine"
988,Hookworm,"Albendazole, Mebendazole"
989,Tapeworm,"Praziquantel, Albendazole"
990,Tetanus,"Tetanus toxoid, Tetanus immunoglobulin"
991,Botulism,"Botulinum antitoxin, Botulinum toxoid"
992,Strangles,"Penicillin, Erythromycin"
995,Lyssavirus,"Rabies vaccine, Post-exposure prophylaxis"
996,Rhabdovirus,"No specific treatment, Supportive care"
997,Rabies,"Rabies vaccine, Post-exposure prophylaxis"
998,Viral hemorrhagic septicemia,"No specific treatment, Supportive care"
999,Respiratory syncytial virus,"Ribavirin, Palivizumab"
1000,Mammarenavirus,"No specific treatment, Supportive care"
1001,Reptarenavirus,"No specific treatment, Supportive care"
1002,Respiratory Syncytial Virus,"Ribavirin, Palivizumab"
1004,Lassa Fever,Ribavirin
1005,Lymphocytic Choriomeningitis,"No specific treatment, Supportive care"
1007,Chlamydia,"Azithromycin, Doxycycline"
1008,Leishmaniasis,"Amphotericin B, Miltefosine, Pentavalent antimonials"
1009,Sporotrichosis,"Itraconazole, Fluconazole"
1010,Fungal infections,"Amphotericin B, Fluconazole, Itraconazole"
1011,Hantavirus,Ribavirin
1012,Orthohantavirus,Ribavirin
1013,Bunyavirus,"No specific treatment, Supportive care"
1014,Phlebovirus,"No specific treatment, Supportive care"
1015,Rift Valley Fever,"No specific treatment, Supportive care"
1016,Schmallenberg virus,"No specific treatment, Supportive care"
1017,Seoul virus,"No specific treatment, Supportive care"
1018,Dabie bandavirus,"No specific treatment, Supportive care"
1019,SFTS phlebovirus,"No specific treatment, Supportive care"
1020,Sin Nombre orthohantavirus,Ribavirin
1021,Tomato spotted wilt virus,"No specific treatment, Supportive care"
1022,Tula orthohantavirus,Ribavirin
1023,Uukuniemi virus,No specific treatment available
1024,Schistosoma bovis,"Praziquantel, Oxamniquine"
1025,Schistosoma haematobium,"Praziquantel, Metrifonate"
1026,Citrobacter rodentium,"Ciprofloxacin, Azithromycin"
1027,Shigellosis,"Ciprofloxacin, Azithromycin"
1028,Xanthomonas campestris infection,No specific treatment available
1029,Bacillus infection,"Vancomycin, Penicillin"
1030,Clostridium infection,"Metronidazole, Vancomycin"
1031,Pectobacterium atrosepticum infection,No specific treatment available
1032,Acinetobacter infection,"Imipenem, Meropenem, Ciprofloxacin"
1033,Mycobacterium infection,"Isoniazid, Rifampicin, Ethambutol"
1034,Escherichia infection,"Ciprofloxacin, Azithromycin, Amoxicillin"
1035,Leishmaniasis,"Pentavalent antimonials, Liposomal amphotericin B"
1036,Entamoeba infection,"Metronidazole, Paromomycin"
1037,Trichinella pseudospiralis,"Albendazole, Mebendazole"
