Disease,Cure name
Wolinella succinogenes (strain ATCC 29543),"Clindamycin, Erythromycin, Azithromycin"
Xanthobacter autotrophicus (strain ATCC BAA-1158),"Trimethoprim, Sulfamethoxazole, Levofloxacin"
Xylella fastidiosa (strain M23),"Amoxicillin, Ceftriaxone, Vancomycin"
Xylella fastidiosa (strain M12),"Cefotaxime, Cefuroxime, Levofloxacin"
Zymomonas mobilis subsp. mobilis (strain ATCC 31821),"Penicillin, Amoxicillin, Azithromycin"
Populus trichocarpa,"Ceftriaxone, Cefotaxime, Levofloxacin"
Allochromatium vinosum (strain ATCC 17899),"Penicillin, Amoxicillin, Azithromycin"
Lachnospira eligens (strain ATCC 27750),"Ceftriaxone, Cefotaxime, Levofloxacin"
Lactiplantibacillus plantarum (strain JDM1),"Penicillin, Amoxicillin, Clindamycin"
Lysinibacillus sphaericus (strain C3-41),"Ciprofloxacin, Levofloxacin, Meropenem"
Roseiflexus sp. (strain RS-1),"Doxycycline, Minocycline, Tetracycline"
Agathobacter rectalis (strain ATCC 33656),"Azithromycin, Clarithromycin, Erythromycin"
Frankia alni (strain DSM 45986),"Metronidazole, Tinidazole, Clindamycin"
Frankia sp. (strain EAN1pec),"Rifampicin, Streptomycin, Tetracycline"
Saccharopolyspora erythraea (strain ATCC 11635),"Chloramphenicol, Erythromycin, Kanamycin"
Salinispora arenicola (strain CNS-205),"Vancomycin, Linezolid, Daptomycin"
Salinispora tropica (strain ATCC BAA-916),"Clindamycin, Metronidazole, Tinidazole"
Acholeplasma laidlawii (strain PG-8A),"Clarithromycin, Aztreonam, Imipenem"
Adiantum capillus-veneris,"Sulfamethoxazole, Trimethoprim, Nitrofurantoin"
Bartonella henselae,"Doxycycline, Azithromycin, Rifampin"
Bartonella quintana,"Doxycycline, Azithromycin, Rifampin"
Bartonella grahamii,"Doxycycline, Azithromycin, Rifampin"
Haemophilus influenzae,"Amoxicillin, Ceftriaxone, Azithromycin"
Streptococcus pyogenes serotype M1,"Penicillin, Amoxicillin, Erythromycin"
Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315),"Penicillin, Amoxicillin, Erythromycin"
Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394),"Penicillin, Amoxicillin, Erythromycin"
Streptococcus pyogenes serotype M18 (strain MGAS8232),"Penicillin, Amoxicillin, Erythromycin"
Streptococcus pyogenes serotype M28 (strain MGAS6180),"Penicillin, Amoxicillin, Erythromycin"
Streptococcus pyogenes serotype M3 (strain SSI-1),"Penicillin, Amoxicillin, Erythromycin"
Streptococcus dysgalactiae subsp. equisimilis (strain GGS_124),"Penicillin, Amoxicillin, Erythromycin"
Streptococcus mutans serotype c (strain NN2025),"Chlorhexidine, Fluoride, Amoxicillin"
Proteus mirabilis (strain HI4320),"Ciprofloxacin, Trimethoprim-sulfamethoxazole, Ceftriaxone"
Streptococcus suis,"Penicillin, Amoxicillin"
Aspergillus candidus,"Voriconazole, Itraconazole"
Clostridium sporogenes,"Metronidazole, Clindamycin"
Mycobacteroides abscessus,"Clarithromycin, Amikacin"
Mycobacterium marinum,"Rifampicin, Ethambutol"
Mycobacterium ulcerans,"Rifampicin, Streptomycin"
Mycobacterium avium,"Clarithromycin, Ethambutol"
Candida glabrata,"Fluconazole, Caspofungin"
Mycobacterium tuberculosis,"Isoniazid, Rifampicin"
Talaromyces marneffei,"Amphotericin B, Itraconazole"
Mycoplasma genitalium,Azithromycin
Mycoplasma pneumoniae,Erythromycin
Parabacteroides distasonis,Metronidazole
Phocaeicola vulgatus,Metronidazole
Porphyromonas gingivalis,Metronidazole
Rickettsia akari,Doxycycline
Streptococcus agalactiae,Penicillin
Treponema pallidum,Penicillin
Candida maltosa,Fluconazole
Ureaplasma parvum,Azithromycin
Anaplasma phagocytophilum,Doxycycline
Bifidobacterium adolescentis,Metronidazole
Leptospira interrogans,Doxycycline
Leptospira borgpetersenii,Penicillin
Leptospira biflexa,Penicillin
Neisseria meningitidis,Ceftriaxone
Rickettsia canadensis,Doxycycline
Rickettsia massiliae,Doxycycline
Ureaplasma parvum,Azithromycin
Streptomyces rimosus,Oxytetracycline
Streptomyces cyaneus,Chloramphenicol
Streptomyces halstedii,Tetracycline
Streptomyces violaceoruber,Streptomycin
Tropheryma whipplei,"Doxycycline, Hydroxychloroquine"
Haemophilus influenzae,"Amoxicillin, Ceftriaxone"
Cryptosporidium parvum,"Nitazoxanide, Paromomycin"
Acanthamoeba castellanii,"Chlorhexidine, Polyhexamethylene biguanide, Propamidine isethionate"
Naegleria fowleri,"Amphotericin B, Miltefosine"
Plasmodium falciparum,"Artemisinin, Chloroquine, Mefloquine"
Pneumocystis carinii,"Trimethoprim-sulfamethoxazole, Pentamidine"
Cryptococcus neoformans,"Fluconazole, Amphotericin B, Flucytosine"
Dictyocaulus viviparus,"Ivermectin, Albendazole"
Exophiala dermatitidis,"Voriconazole, Itraconazole"
Giardia intestinalis,"Metronidazole, Tinidazole, Nitazoxanide"
Leishmania major,"Amphotericin B, Miltefosine, Sodium stibogluconate"
Taenia solium,"Praziquantel, Albendazole"
Toxoplasma gondii,"Pyrimethamine, Sulfadiazine, Clindamycin"
Staphylococcus xylosus,"Vancomycin, Linezolid, Daptomycin"
Ajellomyces capsulatus,"Itraconazole, Amphotericin B"
Ajellomyces dermatitidis,"Itraconazole, Amphotericin B"
Arthroderma gypseum,"Terbinafine, Itraconazole"
Arthroderma otae,"Terbinafine, Itraconazole"
Blastomyces gilchristii,"Itraconazole, Amphotericin B"
Coccidioides posadasii,"Fluconazole, Itraconazole, Amphotericin B"
Paracoccidioides lutzii,"Itraconazole, Amphotericin B"
Paracoccidioides brasiliensis,"Itraconazole, Amphotericin B"
Trichophyton verrucosum,"Terbinafine, Itraconazole"
Cryptococcus neoformans,"Fluconazole, Amphotericin B, Flucytosine"
Dictyocaulus viviparus,"Ivermectin, Albendazole"
Exophiala dermatitidis,"Voriconazole, Itraconazole"
Giardia intestinalis,"Metronidazole, Tinidazole, Nitazoxanide"
Leishmania major,"Amphotericin B, Miltefosine, Sodium stibogluconate"
Taenia solium,"Praziquantel, Albendazole"
Toxoplasma gondii,"Pyrimethamine, Sulfadiazine, Clindamycin"
Staphylococcus xylosus,"Vancomycin, Linezolid, Daptomycin"
Ajellomyces capsulatus,"Itraconazole, Amphotericin B"
Ajellomyces dermatitidis,"Itraconazole, Amphotericin B"
Arthroderma gypseum,"Terbinafine, Itraconazole"
Arthroderma otae,"Terbinafine, Itraconazole"
Blastomyces gilchristii,"Itraconazole, Amphotericin B"
Coccidioides posadasii,"Fluconazole, Itraconazole, Amphotericin B"
Paracoccidioides lutzii,"Itraconazole, Amphotericin B"
Paracoccidioides brasiliensis,"Itraconazole, Amphotericin B"
Trichophyton verrucosum,"Terbinafine, Itraconazole"
Plasmodium vivax,"Chloroquine, Primaquine"
Ustilago maydis,"Amphotericin B, Itraconazole"
Serratia plymuthica,"Ciprofloxacin, Levofloxacin"
Mycoplasmoides gallisepticum,"Tylosin, Tetracycline, Doxycycline"
Treponema medium,"Metronidazole, Penicillin G"
Aeromonas hydrophila,"Ciprofloxacin, Trimethoprim-sulfamethoxazole"
Aeromonas enteropelogenes,"Ciprofloxacin, Trimethoprim-sulfamethoxazole"
Aeromonas sobria,"Ciprofloxacin, Trimethoprim-sulfamethoxazole"
Cryptococcus deuterogattii,"Fluconazole, Amphotericin B, Flucytosine"
Coccidioides posadasii,"Fluconazole, Itraconazole, Amphotericin B"
Corynebacterium striatum,"Vancomycin, Linezolid, Daptomycin"
Leishmania braziliensis,"Amphotericin B, Miltefosine, Paromomycin"
Giardia intestinalis,"Metronidazole, Tinidazole, Nitazoxanide"
Staphylococcus epidermidis,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus intermedius,"Amoxicillin-clavulanate, Cephalexin, Clindamycin"
Staphylococcus lugdunensis,"Oxacillin, Cefazolin, Vancomycin"
Providencia rettgeri,"Ciprofloxacin, Levofloxacin, Trimethoprim-sulfamethoxazole"
Acinetobacter baumannii,"Imipenem, Meropenem, Colistin"
Yersinia enterocolitica,"Ciprofloxacin, Doxycycline, Trimethoprim-sulfamethoxazole"
Streptomyces galilaeus,"Doxorubicin, Daunorubicin"
Aspergillus niger,"Itraconazole, Voriconazole, Amphotericin B"
Bacillus subtilis,"Bacitracin, Erythromycin, Penicillin"
Plasmodium falciparum,"Artemisinin, Chloroquine, Mefloquine"
Plasmodium falciparum (isolate K1 / Thailand),"Artemisinin, Chloroquine, Mefloquine"
Trichomonas vaginalis (strain ATCC PRA-98 / G3),"Metronidazole, Tinidazole"
Babesia bovis,"Atovaquone, Azithromycin"
Aspergillus flavus,"Voriconazole, Amphotericin B"
Dermatophagoides pteronyssinus,"Antihistamines (Cetirizine, Loratadine), Corticosteroids"
Ixodes ricinus,"Doxycycline, Amoxicillin"
Psoroptes ovis,"Ivermectin, Moxidectin"
Candida boidinii,"Fluconazole, Itraconazole"
Listeria monocytogenes serotype 1/2a,Ampicillin
Listeria monocytogenes serotype 1/2a,Gentamicin
Listeria monocytogenes serotype 1/2a,Listeria monocytogenes vaccine
Plasmodium falciparum (isolate 7G8),Artemisinin
Plasmodium falciparum (isolate 7G8),Chloroquine
Plasmodium falciparum (isolate 7G8),Mefloquine
Plasmodium falciparum (isolate 7G8),Quinine
Toxoplasma gondii (strain ATCC 50861),Pyrimethamine
Toxoplasma gondii (strain ATCC 50861),Sulfadiazine
Toxoplasma gondii (strain ATCC 50861),Clindamycin
Plasmodium falciparum (isolate FCR-3 / Gambia),Artemisinin-based combination therapy (ACT)
Plasmodium falciparum (isolate FCR-3 / Gambia),Atovaquone-proguanil
Plasmodium falciparum (isolate FCR-3 / Gambia),Quinine sulfate
Plasmodium falciparum (isolate FCR-3 / Gambia),Mefloquine
Plasmodium falciparum (isolate thtn / Thailand),Artemisinin-based combination therapy (ACT)
Plasmodium falciparum (isolate thtn / Thailand),Atovaquone-proguanil
Plasmodium falciparum (isolate thtn / Thailand),Quinine sulfate
Plasmodium falciparum (isolate thtn / Thailand),Mefloquine
Plasmodium fragile,Chloroquine
Plasmodium fragile,Artemisinin-based combination therapy (ACT)
Listeria monocytogenes serotype 1/2a (strain EGD / Mackaness),Ampicillin
Listeria monocytogenes serotype 1/2a (strain EGD / Mackaness),Gentamicin
Haemonchus contortus,"Albendazole, Ivermectin, Levamisole"
Paracoccidioides brasiliensis,"Amphotericin B, Itraconazole, Sulfonamides"
Plutella xylostella,"Bacillus thuringiensis, Spinosad"
Pyrenophora teres f. teres,"Azoxystrobin, Propiconazole, Tebuconazole"
Colletotrichum graminicola,"Azoxystrobin, Chlorothalonil, Mancozeb"
Ajellomyces capsulatus,"Amphotericin B, Itraconazole, Fluconazole"
Rhizopus delemar,"Amphotericin B, Itraconazole, Posaconazole"
Aspergillus kawachii,"Voriconazole, Itraconazole, Amphotericin B"
Aspergillus usamii,"Voriconazole, Itraconazole, Amphotericin B"
Rhizopus oryzae,"Amphotericin B, Posaconazole, Itraconazole"
Neisseria meningitidis,"Ceftriaxone, Ciprofloxacin, Penicillin G"
Emericella variicolor,"Amphotericin B, Itraconazole, Voriconazole"
Vibrio anguillarum,"Tetracycline, Doxycycline, Ciprofloxacin"
Neisseria gonorrhoeae,"Ceftriaxone, Azithromycin"
Aspergillus thermomutatus,"Voriconazole, Amphotericin B"
Acinetobacter nosocomialis,"Imipenem, Colistin"
Epstein-Barr virus,"Acyclovir, Ganciclovir"
Human cytomegalovirus,"Ganciclovir, Valganciclovir"
Human herpesvirus 1,"Acyclovir, Valacyclovir"
Human herpesvirus 2,"Acyclovir, Valacyclovir"
Human herpesvirus 6A,"Ganciclovir, Foscarnet"
Human herpesvirus 6B,"Ganciclovir, Foscarnet"
Human herpesvirus 7,"Ganciclovir, Foscarnet"
Human herpesvirus 8,"Ganciclovir, Foscarnet"
Varicella-zoster virus,"Acyclovir, Valacyclovir"
Severe acute respiratory syndrome coronavirus,"Remdesivir, Dexamethasone"
Severe acute respiratory syndrome coronavirus 2,"Remdesivir, Dexamethasone"
Burkholderia pseudomallei,"Ceftazidime, Meropenem"
Proteus mirabilis,"Ciprofloxacin, Ceftriaxone"
Salmonella typhimurium,"Ciprofloxacin, Azithromycin"
Mycobacterium tuberculosis,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide"
Leishmania donovani,"Amphotericin B, Miltefosine, Sodium stibogluconate"
Streptococcus suis,"Penicillin, Ampicillin, Ceftriaxone"
Aspergillus terreus,"Voriconazole, Amphotericin B, Itraconazole"
Burkholderia pseudomallei,"Ceftazidime, Meropenem, Trimethoprim-sulfamethoxazole"
Histophilus somni,"Oxytetracycline, Florfenicol, Tilmicosin"
Mannheimia haemolytica,"Tilmicosin, Florfenicol, Enrofloxacin"
Salmonella gallinarum,"Amoxicillin, Enrofloxacin, Florfenicol"
Yersinia ruckeri,"Oxytetracycline, Florfenicol, Enrofloxacin"
Corynebacterium pseudotuberculosis,"Penicillin, Erythromycin, Tetracycline"
Helicobacter pylori,"Clarithromycin, Amoxicillin, Metronidazole"
Actinobacillus pleuropneumoniae,"Tilmicosin, Florfenicol, Enrofloxacin"
Enterococcus avium,"Vancomycin, Linezolid, Daptomycin"
Aeromonas salmonicida subsp. salmonicida,"Oxytetracycline, Florfenicol, Sulfamerazine"
Enterococcus faecium,"Vancomycin, Linezolid, Daptomycin"
Cryptosporidium parvum,"Nitazoxanide, Paromomycin, Azithromycin"
Entamoeba dispar,"Metronidazole, Tinidazole, Paromomycin"
Leishmania infantum,"Amphotericin B, Miltefosine, Sodium stibogluconate"
Plasmodium chabaudi chabaudi,"Chloroquine, Artemether-lumefantrine, Mefloquine"
Plasmodium knowlesi,"Chloroquine, Artemether-lumefantrine, Mefloquine"
Trypanosoma cruzi,"Benznidazole, Nifurtimox"
Ureaplasma urealyticum,"Doxycycline, Azithromycin, Erythromycin"
Streptococcus gordonii,"Penicillin, Amoxicillin, Clindamycin"
Necator americanus,"Albendazole, Mebendazole, Pyrantel pamoate"
Elizabethkingia miricola,"Ciprofloxacin, Levofloxacin, Trimethoprim-sulfamethoxazole"
Ancylostoma caninum,"Albendazole, Mebendazole, Pyrantel pamoate"
Plasmodium falciparum,"Artemether-lumefantrine, Chloroquine, Mefloquine"
Schistosoma japonicum,"Praziquantel, Oxamniquine"
Acinetobacter sp.,"Imipenem, Meropenem, Colistin"
Cryphonectria parasitica,"Carbendazim, Thiophanate-methyl"
Cryptococcus gattii,"Fluconazole, Amphotericin B, Flucytosine"
Candida glabrata,"Caspofungin, Micafungin, Amphotericin B"
Camelpox virus,"Cidofovir, Tecovirimat"
Cowpox virus,"Cidofovir, Tecovirimat"
Salmonella typhimurium,"Ciprofloxacin, Azithromycin, Ceftriaxone"
Candida parapsilosis,"Fluconazole, Caspofungin, Amphotericin B"
Trichophyton rubrum,"Terbinafine, Itraconazole, Griseofulvin"
Vibrio alginolyticus,"Doxycycline, Ciprofloxacin, Azithromycin"
Cochliomyia hominivorax,"Ivermectin, Doramectin"
Prototheca wickerhamii,"Amphotericin B, Fluconazole, Itraconazole"
Enterococcus faecalis,"Vancomycin, Linezolid"
Babesia divergens,"Atovaquone, Azithromycin"
Enterococcus faecalis,"Vancomycin, Linezolid"
Babesia divergens,"Atovaquone, Azithromycin"
Listeria monocytogenes,"Ampicillin, Gentamicin"
Enterococcus faecalis,"Vancomycin, Linezolid"
Babesia divergens,"Atovaquone, Azithromycin"
Listeria monocytogenes,"Ampicillin, Gentamicin"
Clostridioides difficile,"Metronidazole, Vancomycin"
Neisseria meningitidis,"Penicillin, Ceftriaxone"
Enterococcus faecalis,"Vancomycin, Linezolid"
Babesia divergens,"Atovaquone, Azithromycin"
Listeria monocytogenes,"Ampicillin, Gentamicin"
Clostridioides difficile,"Metronidazole, Vancomycin"
Neisseria meningitidis,"Penicillin, Ceftriaxone"
Moraxella catarrhalis,"Amoxicillin, Clavulanate"
Klebsiella pneumoniae,"Meropenem, Ceftazidime"
Proteus vulgaris,"Ciprofloxacin, Ceftriaxone"
Bacteroides fragilis,"Metronidazole, Clindamycin"
Vibrio cholerae,"Doxycycline, Azithromycin"
Influenza,"Oseltamivir, Zanamivir"
Lyme Disease (caused by Borreliella burgdorferi),"Doxycycline, Amoxicillin, Cefuroxime"
"Lyme Disease (caused by Borrelia andersonii, Borrelia bissettiae, Borreliella garinii, Borreliella japonica, Borreliella valaisiana)","Doxycycline, Amoxicillin, Cefuroxime"
Monkeypox,"Tecovirimat, Brincidofovir, Cidofovir"
Pectobacterium carotovorum infection,"Streptomycin, Tetracycline"
Naegleria gruberi infection,"Amphotericin B, Miltefosine, Fluconazole"
Colletotrichum gloeosporioides infection,"Azoxystrobin, Chlorothalonil, Mancozeb"
Colletotrichum trifolii infection,"Azoxystrobin, Chlorothalonil, Mancozeb"
Trypanosomiasis (caused by Trypanosoma brucei gambiense),"Suramin, Pentamidine, Eflornithine"
Escherichia coli infections,"Ciprofloxacin, Amoxicillin, Trimethoprim-sulfamethoxazole"
Staphylococcus infections,"Methicillin, Vancomycin, Linezolid"
Yersinia infections,"Doxycycline, Ciprofloxacin, Gentamicin"
Pseudomonas aeruginosa infections,"Piperacillin-tazobactam, Ceftazidime, Meropenem"
Streptococcus pneumoniae infections,"Penicillin, Amoxicillin, Ceftriaxone"
Adenovirus infections,"Cidofovir, Ribavirin, Brincidofovir"
Cryptosporidiosis (caused by Cryptosporidium parvum),"Nitazoxanide, Paromomycin, Azithromycin"
Feline calicivirus infection,"Ribavirin, Interferon-alpha"
Feline panleukopenia,"Feline panleukopenia vaccine, Supportive care"
Giardiasis (caused by Giardia lamblia),"Metronidazole, Tinidazole, Nitazoxanide"
Hepatitis B,"Tenofovir, Entecavir, Lamivudine"
Hepatitis B,"Entecavir, Tenofovir, Lamivudine, Adefovir"
Hepatitis E,"Peginterferon alfa-2a, Ribavirin"
Hepatitis B,"Entecavir, Tenofovir, Lamivudine, Adefovir"
High Plains disease,No specific treatment available
Citrus ringspot,No specific treatment available
Infectious hypodermal and hematopoietic necrosis,No specific treatment available
Densovirus infection,No specific treatment available
Leishmaniasis,"Amphotericin B, Pentavalent antimonials"
Norovirus infection,No specific treatment available
Melon necrotic spot,No specific treatment available
Maize streak disease,No specific treatment available
Minute virus infection,No specific treatment available
Narcissus mosaic,No specific treatment available
Potato virus M infection,No specific treatment available
Potato virus S infection,No specific treatment available
Potato virus X infection,No specific treatment available
Raspberry bushy dwarf virus infection,No specific treatment available
Red clover necrotic mosaic virus infection,No specific treatment available
Rabbit calicivirus infection,Supportive care
Ribgrass mosaic virus infection,No specific treatment available
Rice ragged stunt virus infection,No specific treatment available
Southern bean mosaic virus infection,No specific treatment available
Soil-borne wheat mosaic virus infection,No specific treatment available
Southern cowpea mosaic virus infection,No specific treatment available
Subterranean clover stunt virus infection,No specific treatment available
Spodoptera frugiperda ascovirus 1a infection,No specific treatment available
Sunn-hemp mosaic virus infection,No specific treatment available
Shallot virus X infection,No specific treatment available
San Miguel sea lion virus infection,Supportive care
Strawberry mild yellow edge-associated virus infection,No specific treatment available
Soybean chlorotic mottle virus infection,No specific treatment available
Southampton virus infection,No specific treatment available
Sputnik virophage infection,No specific treatment available
Spiroplasma virus SpV1-C74 infection,No specific treatment available
Saccharolobus solfataricus rod-shaped virus 1 infection,No specific treatment available
Sugarcane streak virus infection,No specific treatment available
Satellite tobacco necrosis virus 1 infection,No specific treatment available
Turkey astrovirus 1 infection,Supportive care
Tomato bushy stunt virus infection,No specific treatment available
Turnip crinkle virus,No specific treatment available
Tobacco mild green mosaic virus,No specific treatment available
Tobacco mosaic virus (all strains),No specific treatment available
Trichoplusia ni ascovirus 2c,No specific treatment available
Tobacco necrosis virus (both strains),No specific treatment available
Tomato mosaic virus (all strains),No specific treatment available
Tobacco ringspot virus,No specific treatment available
Tobacco rattle virus (isolate PpK20),No specific treatment available
Turnip vein-clearing virus,No specific treatment available
Tobacco yellow dwarf virus (strain Australia),No specific treatment available
Capnocytophaga infection,"Clindamycin, Amoxicillin/Clavulanate, Imipenem/Cilastatin"
Meningitis (caused by Neisseria meningitidis),"Ceftriaxone, Penicillin"
Candida auris infection,"Anidulafungin, Caspofungin, Micafungin"
Neisseria meningitidis,Meningitis
Listeria seeligeri,Listeriosis
Fasciola hepatica,Fascioliasis
Brugia pahangi,Lymphatic filariasis
Q fever (caused by Coxiella burnetii),"Doxycycline, Tetracycline"
Listeriosis (caused by Listeria seeligeri),"Ampicillin, Gentamicin"
Clostridium difficile infection,"Vancomycin, Metronidazole, Fidaxomicin"
Trichophyton tonsurans infection (Tinea capitis),"Griseofulvin, Terbinafine"
Trichophyton equinum infection,"Griseofulvin, Itraconazole"
Trypanosomiasis (caused by Trypanosoma congolense),"Pentamidine, Suramin"
Tularemia (caused by Francisella novicida),"Ciprofloxacin, Doxycycline, Gentamicin, Chloramphenicol"
Capnocytophaga canimorsus infection,"Piperacillin/Tazobactam, Clindamycin, Ciprofloxacin"
Toxoplasmosis (caused by Toxoplasma gondii),"Pyrimethamine, Sulfadiazine, Folinic acid"
Salmonellosis (caused by Salmonella paratyphi B),"Ciprofloxacin, Ceftriaxone"
Chlamydia (caused by Chlamydia trachomatis),"Doxycycline, Azithromycin, Levofloxacin"
Enterococcus faecalis infection,"Ampicillin, Vancomycin"
Staphylococcus haemolyticus infection,"Methicillin, Vancomycin"
Skin infections (caused by Arthroderma benhamiae),"Griseofulvin, Terbinafine"
Pear scab (caused by Marssonina brunnea f. sp. multigermtubi),"Fungicides like mancozeb, captan, or thiophanate-methyl"
Flea beetle infestation (caused by Asbolus verrucosus),Insecticides containing pyrethrins or neonicotinoids
Cat flea infestation (caused by Ctenocephalides felis),"Insect growth regulators, pyriproxyfen or lufenuron"
Citrus canker (caused by Xanthomonas citri subsp. citri),"Copper-based bactericides, antibiotics like streptomycin"
Anaplasmosis (caused by Anaplasma marginale),Tetracyclines like oxytetracycline or imidocarb dipropionate
Ehrlichiosis (caused by Ehrlichia chaffeensis),Doxycycline
Lawsonia intracellularis infection,Macrolides like tylosin or tiamulin
Legionnaires' disease (caused by Legionella pneumophila),
Infective Endocarditis (caused by Streptococcus mitis and Streptococcus constellatus),"Ampicillin, Ceftriaxone, Vancomycin"
Bacterial Meningitis (caused by Streptococcus mitis),"Ceftriaxone, Ampicillin"
Chlamydia Infection (caused by Chlamydia trachomatis),"Doxycycline, Azithromycin"
Anaplasmosis (caused by Anaplasma phagocytophilum),Doxycycline
Bartonellosis (caused by Bartonella bacilliformis),"Ciprofloxacin, Doxycycline"
Cutaneous and Systemic Infections (caused by Cutibacterium acnes),"Benzoyl peroxide, Clindamycin, Oral antibiotics (e.g., tetracycline)"
Ehrlichiosis (caused by Ehrlichia canis),Doxycycline
Urinary Tract Infection (caused by Klebsiella aerogenes),"Ceftriaxone, Ampicillin, Ciprofloxacin"
Gastroenteritis (caused by Campylobacter rectus),"Azithromycin, Ciprofloxacin"
Mycobacterial Infections (caused by Mycobacterium species),"Rifampicin, Isoniazid, Ethambutol"
Whipple's disease (caused by Tropheryma whipplei),"Initial: Ceftriaxone or Penicillin G for 2-4 weeks, followed by Trimethoprim-Sulfamethoxazole (TMP-SMX) for 1-2 years; alternative: Doxycycline with Hydroxychloroquine."
Periodontal disease (caused by Tannerella forsythia),"Metronidazole, Amoxicillin, or Doxycycline."
Bacterial infections (caused by Serratia rubidaea and Serratia ficaria),"Antibiotics such as Ceftriaxone, Ceftazidime, or Ciprofloxacin, depending on susceptibility."
Gastroenteritis (caused by Vibrio furnissii),"Doxycycline, Azithromycin, or Ciprofloxacin."
Whipple's disease,"Streptomycin, Benzylpenicillin, Trimethoprim-Sulfamethoxazole"
Periodontal disease,"Metronidazole, Amoxicillin, Doxycycline"
Gastroenteritis,"Doxycycline, Azithromycin, Ciprofloxacin"
Anaplasmosis,Doxycycline
Bartonellosis,"Ciprofloxacin, Doxycycline"
Bacterial infections,"Ceftriaxone, Ceftazidime, Ciprofloxacin"
Nocardiosis,"Trimethoprim-Sulfamethoxazole, Amikacin"
Chromoblastomycosis,"Itraconazole, Fluconazole"
Phaeohyphomycosis,"Itraconazole, Voriconazole"
Mucormycosis,"Amphotericin B, Posaconazole"
Rhinosporidiosis,"Dapsone, Amphotericin B"
Mycetoma,"Dapsone, Trimethoprim-Sulfamethoxazole"
Fusariosis,"Voriconazole, Amphotericin B"
Saprolegniasis,"Itraconazole, Fluconazole"
Bartonellosis,"Doxycycline, Azithromycin"
Rickettsial diseases,"Doxycycline, Chloramphenicol"
Leishmaniasis,"Pentavalent antimonials (e.g. sodium stibogluconate), Amphotericin B"
Salmonellosis,"Fluoroquinolones (e.g. ciprofloxacin), Ceftriaxone"
Ergotism,None (supportive care)
Claviceps purpurea infection,"Amphotericin B, Fluconazole"
"Toxoplasmosis (caused by Clitocybe nebularis-like organisms, but not directly)","Spiramycin, Pyrimethamine, Sulfadiazine"
Myiasis (caused by Hermetia illucens),"Ivermectin, Albendazole"
Coccidiosis,"Sulfonamides (e.g. sulfadimethoxine), Ionophores (e.g. monensin)"
Respiratory tract infections,"Amoxicillin, Azithromycin"
Skin infections,"Cephalexin, Amoxicillin"
Diphtheria,"Diphtheria antitoxin, Erythromycin"
Yersiniosis,"Ciprofloxacin, Ceftriaxone"
Fungal infections,"Amphotericin B, Fluconazole"
Leptospirosis,"Penicillin, Doxycycline"
Cryptosporidiosis,"Nitazoxanide, Paromomycin"
Helicobacter pylori infection,"Clarithromycin, Amoxicillin, Lansoprazole"
Arcobacter infections,"Ciprofloxacin, Ceftriaxone"
Toxoplasmosis,"Spiramycin, Pyrimethamine, Sulfadiazine"
Leptospirosis,"Penicillin, Doxycycline"
Leishmaniasis,"Pentavalent antimonials (e.g. sodium stibogluconate), Amphotericin B"
Lonomia envenomation,Lonomia Antivenom (LAV)
Whipple's disease,"Streptomycin, Benzylpenicillin, Trimethoprim-Sulfamethoxazole"
Pertussis,"Azithromycin, Clarithromycin, Erythromycin"
Trypanosomiasis,"Suramin, Pentamidine"
North Asian tick typhus,Doxycycline
Shewanella infection,"Ciprofloxacin, Ceftriaxone"
Bacterial infections (caused by Enterococcus faecalis),"Ampicillin, Vancomycin"
Campylobacter infection,"Azithromycin, Ciprofloxacin"
Shigellosis (caused by Shigella flexneri),"Azithromycin, Ciprofloxacin, Ceftriaxone"
Whipple's disease,"Streptomycin, Benzylpenicillin, Trimethoprim-Sulfamethoxazole"
Equine infectious anemia,"Imidocarb, Dexamethasone"
Bacterial infections (caused by Enterococcus faecalis),"Ampicillin, Vancomycin"
Campylobacter infection,"Azithromycin, Ciprofloxacin"
Shigellosis (caused by Shigella flexneri),"Azithromycin, Ciprofloxacin, Ceftriaxone"
Equine infectious anemia,"Imidocarb, Dexamethasone"
Bovine leukemia,"Interferon, Zidovudine"
Caprine arthritis encephalitis,"Antiviral therapy, supportive care"
Dhori virus infection,"Ribavirin, supportive care"
Avian leukosis,No specific treatment available
Avian retrovirus infection,No specific treatment available
Avian sarcoma,No specific treatment available
Equine infectious anemia,"Imidocarb, Dexamethasone"
Feline immunodeficiency virus infection,"Antiviral therapy, supportive care"
Feline leukemia,"Interferon, Zidovudine"
Feline sarcoma,No specific treatment available
Human T-cell leukemia,"Chemotherapy, radiation therapy"
Human immunodeficiency virus (HIV) infection,Antiretroviral therapy (ART)
Adult T-cell leukemia/lymphoma (caused by Human T-cell leukemia virus 1),"Chemotherapy, radiation therapy"
Human immunodeficiency virus type 2 (HIV-2) infection,Antiretroviral therapy (ART)
Jembrana disease,No specific treatment available
Sheep pulmonary adenomatosis,No specific treatment available
Koala retrovirus infection,No specific treatment available
Murine leukemia,No specific treatment available
Feline leukemia,"Interferon, Zidovudine"
Simian immunodeficiency virus (SIV) infection,Antiretroviral therapy (ART)
